word,length,freq
12,2,1
13,2,1
1583,4,1
1593,4,1
1598,4,1
1600,4,1
1612,4,1
1618,4,1
1627,4,1
1628,4,1
1632,4,1
22,2,1
23,2,1
24,2,1
5,1,3
7,1,1
a,1,260
abbaiano,8,1
abbandonati,11,1
abbattevamo,11,1
abbenché,8,1
abbia,5,4
abbiam,6,6
abbiano,7,2
abbiate,7,6
abbietti,8,1
abbonda,7,1
abbondio,8,47
abbracciate,11,1
abbracciato,11,1
abbreviarli,11,1
abile,5,1
abilità,7,1
abitanti,8,1
abito,5,1
abituali,8,1
accadde,7,1
accaddero,9,1
accader,7,1
accadeva,8,1
accadon,7,1
accaduto,8,3
accarezzavan,12,1
accennar,8,1
accennate,9,1
accenneremo,11,1
accidenti,9,2
accingo,7,1
accoglienza,11,1
accoglimento,12,1
accompagnano,12,1
accompagnate,12,1
accoramento,11,1
accorge,7,1
accorgendosi,12,1
accorgere,9,1
accorgersi,10,1
accorse,7,1
accortamente,12,1
accorto,7,2
accostarsi,10,1
accostò,7,2
accozzando,10,1
accresce,8,1
accrescendo,11,1
accrescer,9,1
accresciuta,11,2
accuse,6,1
acevedo,7,1
acqua,5,3
acque,5,1
ad,2,21
adda,4,1
addietro,8,1
addio,5,1
addosso,7,4
adirato,7,1
adolescenza,11,1
adombrato,9,1
adoperar,8,1
adoperarsi,10,1
adoperate,9,1
affaccia,8,1
affannato,9,1
affare,6,2
affaticato,10,1
affatto,7,1
afferrandogli,13,1
afferrarlo,10,1
affettato,9,1
affezionata,11,2
affezioni,9,1
affinis,7,1
affondate,9,1
affrettò,8,1
aggirarsi,9,1
aggiunger,9,1
aggranchiate,12,1
aggrottando,11,1
agiato,6,1
agio,4,1
agitazione,10,1
agl,3,1
agli,4,5
agnello,7,1
agnese,6,1
ago,3,1
ah,2,6
ai,2,10
aiutare,7,1
aiutarlo,8,1
aiutate,7,1
aiutati,7,1
al,2,41
alcun,5,2
alcuna,6,3
alcune,6,1
alcuni,6,4
alcuno,6,5
alieni,6,1
alieno,6,1
all,3,29
alla,4,26
allacciate,10,1
allargato,9,1
alle,4,10
alleati,7,1
alleggerire,11,1
allegramente,12,1
allegri,7,1
allo,4,1
alloggiare,10,1
allontanandosi,14,1
allontanarono,13,1
allora,6,12
allori,6,1
allungò,7,1
almen,5,1
almeno,6,3
alquanto,8,1
alta,4,2
alterarsi,9,1
alterate,8,1
alternate,9,1
alternati,9,1
alto,4,1
altra,5,15
altre,5,5
altri,5,11
altrimenti,10,3
altro,5,28
altrove,7,1
altrui,6,4
alture,6,1
alzando,7,6
alzandogli,10,1
alzar,5,2
alzato,6,1
alzava,6,1
alzò,4,2
ama,3,1
amari,5,1
amaro,5,1
ambiziosa,9,1
ameno,5,1
amiche,6,3
amici,5,2
ammaliziati,11,1
ammazzato,9,1
ammiraglio,10,1
amor,4,8
amorevolezza,12,1
amparo,6,1
ampi,4,1
ampia,5,1
ampie,5,1
amplissimi,10,1
ampollosamente,14,1
ampollose,9,1
anch,4,5
anche,5,17
ancor,5,5
ancora,6,7
ancorché,8,2
ancudine,8,1
andar,5,1
andare,6,1
andarne,7,1
andassero,9,1
andate,6,1
andati,6,3
andato,6,1
andava,6,4
anderebbe,9,1
andiam,6,1
andirivieni,11,1
andrà,5,1
andò,4,4
angeliche,9,1
angolo,6,1
angoscia,8,1
angosciosa,10,1
angosciose,10,1
angusto,7,1
anima,5,1
animale,7,1
anime,5,2
animi,5,1
animo,5,4
annata,6,1
anni,4,7
anno,4,9
annunziarle,11,1
ansante,7,1
ansietà,7,1
ansioso,7,2
antecedente,11,1
antecedenti,11,1
antequam,8,1
antica,6,2
anticipatamente,15,1
anzi,4,8
aperta,6,1
aperti,6,1
aperto,6,2
appagherò,9,1
apparecchiar,12,1
apparecchiate,13,1
apparenza,9,1
apparire,8,2
apparteneva,11,1
appartenevano,13,1
appena,6,3
appiattarsi,11,1
applicargli,11,1
appoggiano,10,1
appoggiata,10,1
appoggiato,10,1
appostatamente,14,1
approfittavano,14,1
appuntate,9,1
appunto,7,2
aprendo,7,1
aprendosi,9,1
aprile,6,2
aprir,5,1
aprire,6,1
aprite,6,1
apriva,6,2
aprì,4,1
aragon,6,1
arbitraria,10,1
arbitrario,10,1
arbitrio,8,1
arcivescovo,11,2
ardito,6,1
argento,7,1
argo,4,1
argomenti,9,1
argomento,9,1
argomentò,9,1
aria,4,2
armare,6,1
arricciati,10,1
arringo,7,1
